"International Donations
All since 9/7/11",,,"Local Donations
3/1/19 to Current *",
,,,,
Country,"Bikes
Donated",,Zip Code,"Bikes
Donated"
Angola,413,,60002,2
Belize,116,,60030,2
Botswana,1861,,60031,1
Costa Rica,527,,60051,2
Dominican Republic,48,,60061,2
Egypt,495,,60073,1
El Salvador,10655,,60085,1
Fiji,438,,60104,1
Franschhoek,584,,60141,2
Ghana,10132,,60188,1
Guatemala,501,,60402,5
Honduras,30,,60411,2
Jordan,1330,,60445,1
Kenya,542,,60525,1
Lesotho,5116,,60532,1
Madagascar,415,,60607,9
Malawi,4696,,60608,11
Namibia,428,,60609,2
New Orleans,450,,60610,3
Nicaragua,908,,60611,1
Nigeria,30,,60612,43
NOLA,181,,60613,7
Panama,1434,,60614,4
Sierra Leone,1890,,60615,2
South Africa,1364,,60617,1
Tanzania,939,,60623,3
Uganda,2584,,60624,3
Zambia,5364,,60626,7
,,,60628,1
Grand Total,53471,,60629,1
,,,60636,1
,,,60637,2
,,,60640,9
,,,60641,2
,,,60643,1
,,,60644,4
,,,60645,1
,,,60647,3
,,,60649,2
,,,60653,2
,,,60657,2
,,,60659,1
,,,60660,1
,,,60714,2
,,,60804,2
,,,60940,1
,,,,
,,,Grand Total,159
,,,,
,,,*just started requiring zip codes from recipients in March 2019,
